,sentence
2319,"Badan Pusat Statistik (BPS) melaporkan konsumsi rumah tangga Indonesia pada kuartal III 2024 tumbuh 4,91% secara tahunan ."
2320,Pertumbuhan konsumsi rumah tangga ini turun dibandingkan kuartal III 2023 maupun kuartal II 2024.
2321,"Plt Kepala BPS Amalia Adininggar Widyasanti mengatakan, jika dibandingkan dengan sebelumnya pertumbuhan konsumsi rumah tangga turun tipis 0,2% dari 4,93% pada kuartal II 2024."
2322,FREEPIK/FRIMUFILMS Ilustrasi pasar.
2323,"Meskipun demikian, dibandingkan Kuartal III 2023, pertumbuhan konsumsi rumah tangga periode ini turun 0,15% dari 5,06%."
2324,"""Kalau kita bandingkan dengan kuartal II 2024 ini tipis sebenarnya melambatnya, sangat tipis, hanya 0,02%,"" kata dia, dalam konferensi pers di Jakarta, Selasa (5/11/2024)."
2325,"Kemudian berdasarkan kontribusinya ke pertumbuhan ekonomi kuartal III 2024 yang sebesar 4,95%, konsumsi rumah tangga periode ini sedikit lebih tinggi dibandingkan tahun sebelumnya."
2326,"Adapun pada periode ini kontribusinya ke pertumbuhan ekonomi sebesar 53,08% sedangkan pada Kuartal III 2023 hanya 52,62%."
2327,"Akan tetapi, dibandingkan kuartal sebelumnya, kontribusi konsumsi rumah tangga periode ini turun, di mana kontribusi konsumsi rumah tangga pada kuartal II 2024 mencapai 54,53%."
2328,"Amalia mengungkapkan, konsumsi rumah tangga pada periode ini ditopang dari sektor transportasi dan komunikasi serta restoran dan hotel yang masing-masing tumbuh 6,54% dan 6,61%."
2329,"Debat Kedua Pilkada Salatiga Digelar Selasa Malam Ini, Tema soal Ekonomi"
2330,"Ketua Komisi Pemilihan Umum (KPU) Kota Salatiga Yesaya Tiluata berharap debat publik Wali Kota-Wakil Wali Kota Salatiga kedua yang dilaksanakan Selasa (19/11/2024), mampu mendongkrak partisipasi pemilih di Pilkada 2024."
2331,"""Kalau untuk target pemilih kami tidak menentukan target, namun kami berupaya maksimal agar dapat berkolaborasi dengan semua pihak, mulai dari pemerintah daerah, stakeholders masyarakat dan juga partai politik serta pasangan calon dalam meningkatkan partisipasi masyarakat di Salatiga,"" kata Yesaya, saat dihubungi."
2332,Debat kedua tersebut akan dilaksanakan di kampus Universitas Islam Negeri (UIN) Salatiga mulai pukul 19.00 WIB.
2333,Debat disiarkan melalui TA TV dan kanal YouTube KPU Kota Salatiga serta radio Suara Salatiga.
2334,"Yesaya mengungkapkan, tema debat kedua adalah Perbaikan Infrastruktur yang Handal, Perekonomian Berdaya Saing dan Berkelanjutan Menuju Masyarakat Harmoni."
2335,"""Untuk tema dan sub-tema, serta panelis di debat kedua ini berbeda dengan debat yang pertama."
2336,"Ini untuk memperkaya wawasan dan gagasan yang akan disampaikan,"" ujarnya."
2337,"Menurut Yesaya, debat publik adalah bagian dari sosialisasi untuk menyebarkan profil, visi dan misi, serta program kerja para pasangan calon kepada masyarakat."
2338,"""Selain itu juga sebagai upaya memberikan informasi secara menyeluruh kepada masyarakat sebagai salah satu pertimbangan dalam menentukan pilihannya di tanggal 27 November 2024 nanti,"" paparnya."
2339,"Seperti diketahui, Pilkada Salatiga diikuti tiga pasangan calon."
2340,"Yakni, nomor urut 1, dr."
2341,"Robby Hernawan-Nina Agustin, nomor 2 Juan Rama-Sri Wahyuni, dan nomor 3, Sinoeng N."
2342,Rachmadi-Budi Santoso.
2343,Kemenangan Trump di Pemilu AS 2024 dan Imbasnya ke Ekonomi Indonesia
2344,"Arsip Kompas berkelindan dengan olah data, analisis, dan atau peristiwa kenyataan hari ini membangun sebuah cerita."
2345,Masa lalu dan masa kini tak pernah benar-benar terputus.
2346,"Ikhtiar menyongsong masa depan berbekal catatan hingga hari ini, termasuk dari kekayaan Arsip Kompas."
2347,Donald Trump dipastikan memenangi Pemilu Amerika Serikat (AS) 2024.
2348,Dia akan menjadi Presiden AS untuk kali kedua.
2349,"Lalu, adakah imbasnya bagi Indonesia, terutama di bidang ekonomi?"
2350,"Jawabannya, ada."
2351,"Bahkan, imbasnya diprediksi cukup signifikan."
2352,Ada sejumlah dimensi pula.
2353,Imbas ini juga bisa dibagi untuk jangka pendek serta jangka menengah dan panjang.
2354,"""Kemenangan Trump ini bagi Indonesia lebih banyak ke aspek keuangan (dan) moneter,"" ujar Direktur Eksekutif The Prakarsa, Ah Maftuchan, Rabu (6/11/2024)."
2355,"Secara umum, kata dia, kebijakan ekonomi dan dagang Trump akan mementingkan ekonomi domestik Amerika terlebih dahulu."
2356,"Misal, dengan rencana bea masuk (tarif) tinggi ke Amerika untuk produk impor."
2357,"Namun, Maftuchan berkeyakinan Trump tidak akan membuat kebijakan seekstrem periode pertama jabatannya pada 2016-2020 yang antara lain memicu perang dagang dengan China dan berdampak global."
2358,"Adapun ekonom senior Samuel Sekuritas Indonesia, Fithra Faisal Hastiandi, memprediksi ada imbas negatif untuk ekonomi Indonesia dalam jangka pendek, terutama di sektor keuangan dan moneter."
2359,"Meski demikian, Fithra berkeyakinan tetap ada peluang terpampang bagi Indonesia di jangka menengah dan panjang terkait kebijakan ekonomi Trump."
2360,"""Secara jangka pendek, kemenangan Trump ini saya prediksi akan mempengaruhi keputusan The Fed (terkait suku bunga acuan The Fed) pada 7 November 2024 waktu setempat,"" kata Fithra, Rabu."
2361,"Bila The Fed menahan atau membatasi penurunan suku bunga dibanding proyeksi sebelum hasil Pemilu AS 2024 ini menuju kemenangan Trump, nilai tukar rupiah dan bursa saham bisa tertekan."
2362,"Namun, Fithra berkeyakinan nilai tukar rupiah bakal mampu bertahan di bawah level Rp 16.000 per dollar AS hingga akhir tahun ini."
2363,"Terpisah, ekonom senior Institute for Development of Economics and Finance (Indef) Dradjad Hari Wibowo, lebih khawatir dengan imbas kebijakan tarif yang akan diterapkan Trump terutama untuk produk dari China."
2364,"""Kita bisa semakin dibanjiri produk murah dari China yang tak bisa masuk Amerika,"" kata Dradjad, Rabu."
2365,"Menurut Dradjad, ini bisa berdampak serius bagi industri di dalam negeri."
2366,"Berikut ini ulasan dari masing-masing dimensi imbas kemenangan Trump di Pemilu AS terhadap ekonomi Indonesia, baik positif maupun negatifnya."
2367,Federal Open Market Committee (FOMC atau The Fed) pada Kamis (7/11/2024) waktu setempat akan menggelar pertemuan rutin yang antara lain menentukan besaran suku bunga acuan (Fed funds rate atau Fed rate).
2368,"Sebelumnya, para ekonom memprediksi The Fed akan menurunkan lagi suku bunga acuannya sebesar 50 basis poin (bps)."
2369,"Namun, ini prediksi sebelum kemenangan Trump di Pemilu AS 2024."
2370,"Fithra mengatakan, setelah Trump menang, diperkirakan The Fed akan punya pertimbangan lain soal kebijakan moneternya ini."
2371,"""Sekarang kemungkinan turun 25 bps, bahkan mungkin di-hold dulu (penurunan Fed rate),"" sebut Fithra."
2372,Proyeksi perubahan pemikiran The Fed ini karena persepsi pasar ke Trump selalu adalah mengasosiasikannya dengan kebijakan yang akan memicu inflasi.
2373,Wajar bila kemudian The Fed punya kekhawatiran bahwa kemenangan Trump ini akan memicu ekspektasi inflasi.
2374,"""(Jadi) kalau The Fed (sekarang) memangkas suku bunga acuan terlalu cepat, (dikhawatirkan) inflasi akan naik,"" kata Fithra yang juga adalah pengajar di Fakultas Ekonomi dan Bisnis Universitas Indonesia (FEB UI) ini."
2375,"Dengan kebijakan Trump yang cenderung ekspansif, lanjut Fithra, yang bisa dilakukan The Fed adalah memilih mempertahankan besaran suku bunga acuan saat ini atau kalaupun Fed rate tetap dipangkas maka pada 2025 tidak akan ada kebijakan moneter yang agresif dari bank sentral Amerika tersebut."
2376,"""(Gambarannya) kalau bukan Trump yang menang The Fed bisa turunkan (Fed rate) empat sampai lima kali (pada 2025), sekarang (dengan Trump menang) ya (frekuensinya) turun,"" tutur Fithra."
2377,"Hingga Rabu, suku bunga acuan The Fed adalah rentang 4,75-5%, setelah turun sebesar 50 bps pada September 2024 untuk kali pertama sejak pandemi Covid-19."
2378,"Pemangkasan dilakukan karena The Fed berkeyakinan angka inflasi di AS akan berlanjut membaik, beserta penyerapan tenaga kerja yang juga naik."
2379,"Sekali lagi, ini keyakinan sebelum Trump menang."
2380,"Slogan Trump ""Make America great again"", menurut Fithra memang dimungkinkan membuat ekonomi AS menguat."
2381,"Namun, inflasi juga bisa tinggi lagi."
2382,"Prabowo Targetkan Pertumbuhan Ekonomi 8 Persen, Ekonom: Harus Bisa Bangkitkan Daya Beli di 100 Hari Pertama"
2383,Presiden Prabowo Subianto menargetkan pertumbuhan ekonomi nasional mencapai 8% selama 5 tahun pemerintahannya.
2384,"Wakil Direktur Institute for Development of Economics and Finance (Indef) Eko Listiyanto mengatakan, target itu bisa dicapai asalkan dalam 100 hari pertama pemerintahan, Prabowo bisa membangkitkan daya beli masyarakat."
2385,"""Kalau dalam 100 hari pertama pemerintahan Pak Prabowo ini tidak bisa membangkitkan daya beli, kita harus melupakan pertumbuhan ekonomi 8%."
2386,"Memperbaiki daya beli saja belum tentu mampu, apalagi membangkitkan perekonomian secara keseluruhan,"" ujarnya dalam diskusi virtual, Senin (18/11/2024)."
2387,"Eko menjelaskan, daya beli masyarakat yang dapat dilihat dari konsumsi rumah tangga, saat ini tengah melemah."
2388,"Bahkan pada Kuartal III 2024, konsumsi rumah tangga tumbuh di bawah pertumbuhan ekonomi."
2389,"Sebagai informasi, Badan Pusat Statistik (BPS) mencatat konsumsi rumah tangga pada Kuartal III 2024 tumbuh melambat dari 4,93% pada Kuartal II menjadi 4,91%."
2390,"Pelambatan ini membuat pertumbuhan ekonomi RI pada Kuartal III 2024 menjadi di bawah 5%, tepatnya 4,95%."
2391,"Angka ini melambat dibandingkan pertumbuhan ekonomi Kuartal I dan II yang tumbuh 5,11% dan 5,05%."
2392,"""100 hari pertama itu harus bisa dibuktikan bisa mengungkit daya beli masyarakat."
2393,"Kalau tidak ada itu, kan kita susah ya untuk bisa optimis dengan ambisi 8% itu."
2394,"Karena lebih dari separuh perekonomian Indonesia itu sebetulnya faktor penentunya ada di konsumsi, di daya beli masyarakat,"" papar Eko."
2395,"Selain memacu daya beli masyarakat, pemerintah juga harus mendorong pertumbuhan sektor industri."
2396,Hal ini berkaca pada kesuksesan pemerintahan terdahulu yang pernah mencetak pertumbuhan ekonomi di atas 8%.
2397,"Berdasarkan catatan , pertumbuhan ekonomi Indonesia sempat tembus 10,92% pada 1970 saat pemerintahan Presiden Soeharto."
2398,"Pada tahun-tahun kepemimpinan Presiden Soeharto, pertumbuhan ekonomi RI berfluktuasi namun cenderung tinggi dan terjaga di atas 5%."
2399,"Sehingga rata-rata capaian pertumbuhan ekonomi pada era Presiden Soeharto (1965-1997) sebesar 6,3%."
2400,"Eko mengatakan,  melihat catatan historis itu, pertumbuhan ekonomi dapat mencapai angka di atas 5% karena sektor industri dapat tumbuh di atas pertumbuhan ekonomi."
2401,"Oleh karenanya, jika Prabowo ingin mencapai target 8%, maka pemerintah harus menggenjot pertumbuhan ekonomi menjadi double digit."
2402,"""Jadi kalau industri tidak bangkit, sebetulnya agak susah kita mengatakan bisa (tercapai) dalam katakanlah 5 tahun ke depan."
2403,"Jadi harus ada sinyal-sinyal bahwa industri mulai bangkit lagi, baru pertumbuhan ekonominya meningkat lagi,"" tuturnya."
2404,Ekonomi Biru hingga Tanggul Laut Jadi Bahasan Prabowo-Xi Jinping
2405,Menteri Koordinator Bidang Perekonomian Airlangga Hartarto memaparkan isi pertemuan antara Presiden Prabowo Subianto dan Presiden Xi Jinping dalam pertemuan antara kedua pemimpin pemerintahan tersebut di China.
2406,Pembicaraan keduanya antara lain membahas soal ekonomi biru dan tanggul laut raksasa atau great sea wall.
2407,"""Dalam pembicaraan bilateral banyak hal yang diharapkan kerja sama yang akan dilanjutkan, salah satunya terkait dengan pengembangan di sektor blue economy (ekonomi biru) yaitu pendalaman dalam sektor yang berbasis maritim mulai dari energi sampai tentu di sektor fisheries (perikanan),"" kata Airlangga, sebagaimana dilansir Antara, Minggu (10/11/2024)."
2408,"Pada Sabtu (9/11/2024), kedua pemimpin menyaksikan penandatangan sejumlah kesepakatan government to government."
2409,"Beberapa kesepakatan tersebut di antaranya adalah bidang ekspor buah kelapa segar, perikanan tangkap berkelanjutan, ekonomi biru, sumber daya mineral, mineral hijau, sumber daya air, pendanaan makan bergizi untuk anak sekolah hingga keamanan maritim."
2410,"Airlangga menyampaikan, Xi merespons baik beberapa proyek kerja sama dengan Indonesia, seperti Kereta Cepat Jakarta-Bandung."
2411,"""Kemudian proyek ke depan Bapak Presiden menyampaikan terkait dengan great sea wall yaitu bendungan di utara Jawa,"" kata Airlangga."
2412,"Selain itu, Airlangga juga menyebut ada pembicaraan mengenai pengembangan kawasan Two Countries Twin Parks yaitu pengembangan kawasan industri di kedua negara."
2413,"""Kemudian juga berbagai kegiatan termasuk implementasi yang lebih dalam dari local currency settlement atau LCS karena itu juga penting."
2414,"Nah selain pilar-pilar di bidang ekonomi ini juga dibahas,"" ungkap Airlangga."
2415,Sementara di sektor keamanan juga ada pembahasan yang akan ditindaklanjuti oleh Menteri Luar Negeri dan Menteri Pertahanan dari Indonesia dan China.
2416,"""Jadi suasananya sangat baik dan optimistis dalam pertemuan juga membahas geopolitik termasuk situasi terakhir dari terpilihnya Donald Trump di Amerika Serikat (AS),"" tambah Airlangga."
2417,"Terkait dengan hubungan dagang dengan (AS), menurut Airlangga, Indonesia tidak perlu khawatir karena adanya mekanisme Indo-Pacific Economic Framework yang sudah ditandatangani."
2418,Indonesia pun sedang dalam proses untuk masuk ke keanggotaan Organisation for Economic Co-operation and Development (OECD) yang menjadi salah satu panggung ekonomi AS.
2419,"""Jadi jelas kemarin Bapak Presiden juga menyampaikan Indonesia adalah negara yang non-blok, non-align sehingga kita bisa bekerja sama dengan siapa pun."
2420,"Apalagi sesudah pertemuan Beijing, Presiden akan segera ke Washington,"" kata Airlangga."
2421,"Terkait pendanaan makanan bergizi, Airlangga mengakui bahwa Pemerintah China mendukung Pemerintah Indonesia."
2422,"""Karena mereka juga sudah melaksanakan makan bergizi di sini, dan itu juga sudah ada di APBN (Anggaran Pendapatan dan Belanja Negara),"" tegas Airlangga."
2423,"Pemerintahan China mendukung program makan bergizi gratis yang diusung pemerintahan Prabowo dengan dicapainya kesepakatan pendanaan soal ""Food Supplementation and School Feeding Programme in Indonesia""."
2424,"Anggota Polda Babel yang Tewas Tergantung Ternyata Intel, Diduga karena Ekonomi"
2425,"Seorang anggota Polda Bangka Belitung ditemukan tewas dalam keadaan tergantung di kediamannya di Tanjung Bunga, Kelurahan Sinar Bulan, Pangkalpinang."
2426,"Jasad yang diidentifikasi sebagai JA (43), yang bertugas di satuan intel, diperkirakan sudah meninggal sejak tiga hari lalu."
2427,"Kepala Bidang Humas Polda Bangka Belitung, Kombes Pol Fauzan Sukmawansyah, menjelaskan bahwa pihak kepolisian menerima laporan dari saksi yang mencurigai ketidakhadiran JA."
2428,"""Didatangi ke lokasi, bermula saat diketahui tidak masuk dinas sejak 19 November 2024,"" kata Fauzan dalam keterangan tertulisnya, Jumat (22/11/2024)."
2429,Rekan kerja JA melakukan pengecekan ke rumah kontrakannya setelah tidak melihatnya hadir di tempat kerja.
2430,"""Didapati pintu kosan dalam keadaan terkunci dan saksi yang sempat mencium aroma tidak sedap berinisiatif mendobrak pintu,"" jelas Fauzan."
2431,"Setelah pintu berhasil didobrak, saksi menemukan JA sudah meninggal dunia dalam keadaan tergantung dengan seutas tali di dalam kamar."
2432,Tim Inafis Ditreskrimum kemudian tiba di lokasi untuk melakukan olah tempat kejadian perkara (TKP) setelah kejadian tersebut dilaporkan.
2433,"Mengenai motif kematian, Fauzan menyebutkan bahwa pihaknya masih melakukan penyelidikan lebih lanjut."
2434,"""Masih proses penyelidikan, dugaan sementara latar belakangnya ini masalah ekonomi."
2435,"Kita masih menunggu dan akan kami sampaikan kembali,"" terang Fauzan."
2436,Pihak kepolisian terus berupaya mendalami kasus ini untuk mendapatkan informasi lebih lanjut terkait penyebab kematian JA.
2437,Kontak bantuan
2438,Bunuh diri bisa terjadi di saat seseorang mengalami depresi dan tak ada orang yang membantu.
2439,"Jika Anda memiliki permasalahan yang sama, jangan menyerah dan memutuskan mengakhiri hidup."
2440,Anda tidak sendiri.
2441,Layanan konseling bisa menjadi pilihan Anda untuk meringankan keresahan yang ada.
2442,"Untuk mendapatkan layanan kesehatan jiwa atau untuk mendapatkan berbagai alternatif layanan konseling, Anda bisa simak website Into the Light Indonesia di bawah ini:"
2443,
2444,"Cadangan Devisa Oktober Naik Jadi 151,2 Miliar Dollar AS, Cetak Rekor Tertinggi Sepanjang Sejarah"
2445,Cadangan devisa Indonesia tercatat meningkat pada Oktober 2024.
2446,Kenaikan ini terjadi setelah pada bulan sebelumnya mengalami koreksi.
2447,"Bank Indonesia (BI) melaporkan, posisi cadangan devisa Indonesia mencapai 151,2 miliar dollar AS sampai dengan Oktober 2024."
2448,"Nilai ini meningkat dibandingkan posisi pada akhir September 2024 sebesar 149,9 miliar dollar AS."
